fuel-type,num-of-doors,body-style,drive-wheels,engine-size,horsepower,price,avg-mpg
gas,two,convertible,rwd,130,111.0,13495.0,34.5
gas,two,convertible,rwd,130,111.0,16500.0,34.5
gas,two,hatchback,rwd,152,154.0,16500.0,32.0
gas,four,sedan,fwd,109,102.0,13950.0,39.0
gas,four,sedan,4wd,136,115.0,17450.0,29.0
gas,two,sedan,fwd,136,110.0,15250.0,31.5
gas,four,sedan,fwd,136,110.0,17710.0,31.5
gas,four,wagon,fwd,136,110.0,18920.0,31.5
gas,four,sedan,fwd,131,140.0,23875.0,27.0
gas,two,sedan,rwd,108,101.0,16430.0,37.5
gas,four,sedan,rwd,108,101.0,16925.0,37.5
gas,two,sedan,rwd,164,121.0,20970.0,35.0
gas,four,sedan,rwd,164,121.0,21105.0,35.0
gas,four,sedan,rwd,164,121.0,24565.0,32.5
gas,four,sedan,rwd,209,182.0,30760.0,27.0
gas,two,sedan,rwd,209,182.0,41315.0,27.0
gas,four,sedan,rwd,209,182.0,36880.0,25.0
gas,two,hatchback,fwd,61,48.0,5151.0,73.5
gas,two,hatchback,fwd,90,70.0,6295.0,59.5
gas,four,sedan,fwd,90,70.0,6575.0,59.5
gas,two,hatchback,fwd,90,68.0,5572.0,57.5
gas,two,hatchback,fwd,90,68.0,6377.0,50.0
gas,two,hatchback,fwd,98,102.0,7957.0,39.0
gas,four,hatchback,fwd,90,68.0,6229.0,50.0
gas,four,sedan,fwd,90,68.0,6692.0,50.0
gas,four,sedan,fwd,90,68.0,7609.0,50.0
gas,four,sedan,fwd,98,102.0,8558.0,39.0
gas,four,wagon,fwd,122,88.0,8921.0,39.0
gas,two,hatchback,fwd,156,145.0,12964.0,31.0
gas,two,hatchback,fwd,92,58.0,6479.0,76.0
gas,two,hatchback,fwd,92,76.0,6855.0,50.0
gas,two,hatchback,fwd,79,60.0,5399.0,59.0
gas,two,hatchback,fwd,92,76.0,6529.0,47.0
gas,two,hatchback,fwd,92,76.0,7129.0,47.0
gas,four,sedan,fwd,92,76.0,7295.0,47.0
gas,four,wagon,fwd,92,76.0,7295.0,47.0
gas,two,hatchback,fwd,110,86.0,7895.0,43.5
gas,two,hatchback,fwd,110,86.0,9095.0,43.5
